session_id,n_utterances,total_duration_sec,n_children
S_be0af0d94e7dde34,167,303.576,1
S_ddc128a5a6ace597,164,287.867,1
S_1277b3718b385bd4,160,274.776,1
S_49c574c14a54f002,154,284.628,1
S_b1b4164e0ac6b0c3,146,184.966,1
S_241b915c4de73cb4,145,210.241,1
S_1ecb8ca05db44c1d,143,218.58599999999998,1
S_a6c841139f007fac,143,317.131,1
S_057860428b832e01,134,226.637,1
S_46d5673f262ac188,133,182.939,1
S_436a0480351a65ee,127,202.553,1
S_9af4ede702f6dbeb,125,224.401,1
S_44f6d842a3742a3b,122,1004.393,1
S_9126db2e1b5c06cc,120,293.727,1
S_7a6632cff9053aea,119,170.507,1
S_614a8a860d5a2ab4,118,435.34,1
S_138b195f49b40564,116,168.433,1
S_c168b86e8acb87ba,114,157.469,1
S_6e1507fa8f03394a,113,175.525,1
S_c1050d5935bae0a3,111,685.283,1
S_ac86efd5a2d35e73,110,526.687,1
S_4f58e72e9cf7dc70,110,152.849,1
S_23d3e1ac394bc1f2,107,148.278,1
S_644afa6e17716a52,106,157.824,1
S_3211792f3ea94902,105,144.452,1
S_21d981c2df926ca1,105,167.487,1
S_4beeaa4bbe7bafdf,105,205.151,1
S_8f2a5a16e483fe0f,104,205.859,1
S_9d9129296272c729,103,129.378,1
S_418e583c8b514147,102,441.606,1
S_c0c42eebe06e6479,101,187.743,1
S_5c01bff1fb6e40e9,101,126.743,1
S_7a32fc5780c56134,100,201.934,1
S_e79061a6515214c3,100,583.517,1
S_229ca7f62c51dd1a,100,415.272,1
S_8b1d247b058f5073,100,248.895,1
S_5c0e0f6ee6f0e985,100,184.265,1
S_6e000b087d7ca185,99,486.265,1
S_a5002e4838827298,99,189.502,1
S_b69fbda140a4cada,99,165.632,1
S_0a88a448b00bde3c,98,610.212,1
S_26c9e4507452cad3,98,166.236,1
S_7a11f8cb88ddb491,98,524.83,1
S_1d94b4deb07ea7d2,96,230.636,1
S_611dd12378a2bee9,96,163.373,1
S_12de0a9f65e91e42,95,546.897,1
S_0369b786369a5ac4,94,108.756,1
S_f548a64b615d95ab,92,454.408,1
S_1b2f4f374f3c52b3,92,200.27100000000002,1
S_2e01b67ed0787ce0,92,453.335,1
S_221b90d34aaddbda,92,178.462,1
S_b6dbee912652da7c,91,112.831,1
S_3c3d2c74f367b122,91,164.218,1
S_65fd2c71416d7e14,90,427.997,1
S_78da68d31017a041,90,130.78,1
S_6b42a2a233f802e4,89,146.917,1
S_32246dd4011021e9,88,120.768,1
S_1df37916475711ad,88,149.1,1
S_9cac041bf51f173b,88,145.798,1
S_8cb7a605845e252d,88,357.847,1
S_ae8adec8d99d24eb,87,115.61,1
S_419bdf9a10b462ab,87,123.049,1
S_201840898835548f,87,122.54899999999999,1
